"Frame-Sf","MASTER CAUTN","WARNMAS","AIRCRAFT REGISTRATION","DEPARTURE AIRPORT- ICAO","ARRIVAL AIRPORT- ICAO","FLIGHT NUMBER","STATIC AIR TEMP.","FLIGHT PHASE","T471","T474","T472","T475","T481","T482","FLAP CONFIGURATION","ECS ISOLATION VALVE","OAT","ECS_1","ECS_2","ENGINE 1 BLEED VLALE","ENGINE 2 BLEED VALVE","APU BLEED SWITCH","N11","N12","N21","N22"
"","aWARNMAS","aWARNMAS","_AC_REG","_ORIGIN","_DESTINATION","_FLIGHT_NUM","_SAT","_FLIGHT_PHASE","T471","T474","T472","T475","T481","T482","_FLAPS","ISOV","OAT","ECS_1","ECS_2","BLD_1","BLD_2","APU_BLEED","_N1_1","_N1_2","_N2_1","_N2_2"
"","","","","","","","DEG C","","","","","","","","","","","","","","","","%RPM","%RPM","%RPM","%RPM"
3-1,1,1,B-1513,ZBAA,ZHHH,,-8.44052124023437500,1,16.84387969970703100,-17.77777862548828100,-17.77777862548828100,17.91466903686523400,-17.77777862548828100,-17.77777862548828100,0.00000000000000000,1,0.00000000000000000,0,0,1,1,1,0.00000000000000000,13.62500000000000000,0.00000000000000000,47.12500000000000000
3-2,1,1,B-1513,ZBAA,ZHHH,,-8.44052124023437500,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,14.50000000000000000,0.00000000000000000,48.62500000000000000
3-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,15.37500000000000000,0.00000000000000000,50.12500000000000000
3-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,15.87500000000000000,0.00000000000000000,51.50000000000000000
4-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.14025115966796900,17.31510162353515600,17.76435279846191400,17.83950042724609400,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,0.00000000000000000,16.50000000000000000,0.00000000000000000,52.87500000000000000
4-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,17.12500000000000000,0.00000000000000000,54.25000000000000000
4-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,17.87500000000000000,0.00000000000000000,55.50000000000000000
4-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,18.87500000000000000,0.00000000000000000,56.75000000000000000
5-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.14025115966796900,16.96253776550293000,17.68923950195312500,17.76435279846191400,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,0.00000000000000000,19.75000000000000000,0.00000000000000000,57.75000000000000000
5-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,20.62500000000000000,0.00000000000000000,58.87500000000000000
5-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,21.00000000000000000,0.00000000000000000,59.00000000000000000
5-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,20.87500000000000000,0.00000000000000000,59.00000000000000000
6-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,17.37265777587890600,17.31510162353515600,17.68923950195312500,17.53908348083496100,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,0.00000000000000000,20.87500000000000000,0.00000000000000000,58.87500000000000000
6-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,21.00000000000000000,0.00000000000000000,58.87500000000000000
6-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,21.12500000000000000,0.00000000000000000,58.75000000000000000
6-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,21.12500000000000000,0.00000000000000000,58.75000000000000000
7-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.66782188415527300,17.49153327941894500,17.53908348083496100,17.53908348083496100,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,0.00000000000000000,21.12500000000000000,0.00000000000000000,58.75000000000000000
7-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,21.12500000000000000,0.00000000000000000,58.75000000000000000
7-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,21.37500000000000000,0.00000000000000000,58.75000000000000000
7-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,21.62500000000000000,1.87500000000000000,58.75000000000000000
8-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.49186515808105500,17.31510162353515600,17.53908348083496100,17.46404647827148400,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,0.00000000000000000,21.87500000000000000,4.12500000000000000,58.75000000000000000
8-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,22.12500000000000000,6.62500000000000000,58.75000000000000000
8-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,22.25000000000000000,9.00000000000000000,58.75000000000000000
8-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,22.50000000000000000,11.25000000000000000,58.75000000000000000
9-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.31600570678710900,17.31510162353515600,17.46404647827148400,17.46404647827148400,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,0.00000000000000000,22.50000000000000000,13.37500000000000000,58.75000000000000000
9-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,22.75000000000000000,15.25000000000000000,58.75000000000000000
9-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,22.62500000000000000,17.12500000000000000,58.75000000000000000
9-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,0.00000000000000000,22.50000000000000000,18.75000000000000000,58.75000000000000000
10-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,17.54911613464355500,17.31510162353515600,17.38903427124023400,17.23908805847168000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,0.00000000000000000,22.37500000000000000,20.12500000000000000,58.75000000000000000
10-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,1.25000000000000000,22.25000000000000000,21.37500000000000000,58.75000000000000000
10-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,1.75000000000000000,22.12500000000000000,22.50000000000000000,58.75000000000000000
10-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,2.00000000000000000,22.00000000000000000,23.50000000000000000,58.75000000000000000
11-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,17.37265777587890600,17.49153327941894500,17.31404876708984400,17.16415214538574200,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,2.25000000000000000,22.37500000000000000,24.37500000000000000,58.75000000000000000
11-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,2.62500000000000000,22.37500000000000000,25.12500000000000000,58.75000000000000000
11-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,2.87500000000000000,22.37500000000000000,25.75000000000000000,58.75000000000000000
11-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,3.12500000000000000,22.50000000000000000,26.37500000000000000,58.75000000000000000
12-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,17.37265777587890600,17.49153327941894500,17.23908805847168000,17.16415214538574200,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,3.37500000000000000,22.75000000000000000,26.87500000000000000,58.75000000000000000
12-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,3.62500000000000000,22.87500000000000000,27.37500000000000000,58.75000000000000000
12-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,4.12500000000000000,22.62500000000000000,28.75000000000000000,58.75000000000000000
12-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,4.75000000000000000,22.50000000000000000,30.12500000000000000,58.75000000000000000
13-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.66782188415527300,17.49153327941894500,17.08924102783203100,17.23908805847168000,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,5.37500000000000000,22.75000000000000000,31.62500000000000000,58.75000000000000000
13-2,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,6.12500000000000000,22.62500000000000000,33.00000000000000000,58.75000000000000000
13-3,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,6.87500000000000000,22.50000000000000000,34.50000000000000000,58.75000000000000000
13-4,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,,,,,,,0.00000000000000000,1,,0,0,1,1,1,7.62500000000000000,22.37500000000000000,36.00000000000000000,58.75000000000000000
14-1,1,1,B-1513,ZBAA,ZHHH,,-9.00000000000000000,0,16.14025115966796900,17.31510162353515600,17.08924102783203100,17.08924102783203100,0.00000000000000000,0.00000000000000000,0.00000000000000000,1,-9.00000000000000000,0,0,1,1,1,8.37500000000000000,22.50000000000000000,37.25000000000000000,58.75000000000000000
